Label1,Pivot Field Values,Calculation1,Total
Physical illness or condition,5,1%,7
Inability to concentrate on my work,5,7%,44
"Feeling depressed, stressed, or upset",5,13%,80
Physical illness or condition,4,4%,22
Inability to concentrate on my work,4,16%,103
"Feeling depressed, stressed, or upset",4,21%,130
Physical illness or condition,3,14%,86
Inability to concentrate on my work,3,34%,215
"Feeling depressed, stressed, or upset",3,33%,208
Physical illness or condition,2,27%,170
Inability to concentrate on my work,2,21%,131
"Feeling depressed, stressed, or upset",2,19%,119
Physical illness or condition,1,55%,342
Inability to concentrate on my work,1,21%,135
"Feeling depressed, stressed, or upset",1,15%,94
