Label1,Pivot Field Values,Calculation1,Total
Physical illness or condition,5,,
Inability to concentrate on my work,5,4%,1
"Feeling depressed, stressed, or upset",5,14%,4
Physical illness or condition,4,7%,2
Inability to concentrate on my work,4,21%,6
"Feeling depressed, stressed, or upset",4,25%,7
Physical illness or condition,3,11%,3
Inability to concentrate on my work,3,32%,9
"Feeling depressed, stressed, or upset",3,39%,11
Physical illness or condition,2,43%,12
Inability to concentrate on my work,2,21%,6
"Feeling depressed, stressed, or upset",2,14%,4
Physical illness or condition,1,39%,11
Inability to concentrate on my work,1,21%,6
"Feeling depressed, stressed, or upset",1,7%,2
