Label1,Pivot Field Values,Calculation1,Total
Physical illness or condition,5,5%,8
Inability to concentrate on my work,5,15%,25
"Feeling depressed, stressed, or upset",5,22%,38
Physical illness or condition,4,5%,9
Inability to concentrate on my work,4,22%,38
"Feeling depressed, stressed, or upset",4,32%,55
Physical illness or condition,3,17%,29
Inability to concentrate on my work,3,34%,58
"Feeling depressed, stressed, or upset",3,31%,53
Physical illness or condition,2,26%,44
Inability to concentrate on my work,2,15%,25
"Feeling depressed, stressed, or upset",2,8%,13
Physical illness or condition,1,47%,81
Inability to concentrate on my work,1,15%,25
"Feeling depressed, stressed, or upset",1,7%,12
