Label1,Pivot Field Values,Calculation1,Total
Physical illness or condition,5,2%,7
Inability to concentrate on my work,5,8%,30
"Feeling depressed, stressed, or upset",5,12%,48
Physical illness or condition,4,5%,18
Inability to concentrate on my work,4,21%,80
"Feeling depressed, stressed, or upset",4,29%,113
Physical illness or condition,3,19%,72
Inability to concentrate on my work,3,38%,147
"Feeling depressed, stressed, or upset",3,33%,127
Physical illness or condition,2,28%,106
Inability to concentrate on my work,2,18%,71
"Feeling depressed, stressed, or upset",2,17%,66
Physical illness or condition,1,47%,182
Inability to concentrate on my work,1,15%,58
"Feeling depressed, stressed, or upset",1,8%,32
