Label1,Pivot Field Values,Calculation1,Total
Physical illness or condition,5,2%,5
Inability to concentrate on my work,5,7%,16
"Feeling depressed, stressed, or upset",5,18%,40
Physical illness or condition,4,6%,13
Inability to concentrate on my work,4,17%,38
"Feeling depressed, stressed, or upset",4,19%,41
Physical illness or condition,3,15%,33
Inability to concentrate on my work,3,37%,82
"Feeling depressed, stressed, or upset",3,34%,76
Physical illness or condition,2,30%,66
Inability to concentrate on my work,2,19%,41
"Feeling depressed, stressed, or upset",2,21%,46
Physical illness or condition,1,47%,104
Inability to concentrate on my work,1,20%,44
"Feeling depressed, stressed, or upset",1,8%,18
