Label1,Pivot Field Values,Calculation1,Total
Physical illness or condition,5,3%,12
Inability to concentrate on my work,5,10%,46
"Feeling depressed, stressed, or upset",5,21%,97
Physical illness or condition,4,8%,38
Inability to concentrate on my work,4,22%,103
"Feeling depressed, stressed, or upset",4,25%,119
Physical illness or condition,3,19%,88
Inability to concentrate on my work,3,35%,166
"Feeling depressed, stressed, or upset",3,33%,156
Physical illness or condition,2,23%,107
Inability to concentrate on my work,2,19%,89
"Feeling depressed, stressed, or upset",2,13%,60
Physical illness or condition,1,48%,222
Inability to concentrate on my work,1,14%,65
"Feeling depressed, stressed, or upset",1,8%,37
