Label1,Pivot Field Values,Calculation1,Total
Physical illness or condition,5,2%,32
Inability to concentrate on my work,5,8%,116
"Feeling depressed, stressed, or upset",5,16%,226
Physical illness or condition,4,6%,79
Inability to concentrate on my work,4,22%,312
"Feeling depressed, stressed, or upset",4,23%,320
Physical illness or condition,3,15%,215
Inability to concentrate on my work,3,35%,496
"Feeling depressed, stressed, or upset",3,32%,447
Physical illness or condition,2,28%,390
Inability to concentrate on my work,2,17%,244
"Feeling depressed, stressed, or upset",2,18%,257
Physical illness or condition,1,49%,692
Inability to concentrate on my work,1,17%,242
"Feeling depressed, stressed, or upset",1,11%,158
