Label1,Pivot Field Values,Calculation1,Total
Physical illness or condition,5,2%,78
Inability to concentrate on my work,5,8%,299
"Feeling depressed, stressed, or upset",5,16%,572
Physical illness or condition,4,5%,195
Inability to concentrate on my work,4,20%,744
"Feeling depressed, stressed, or upset",4,24%,874
Physical illness or condition,3,16%,577
Inability to concentrate on my work,3,35%,1279
"Feeling depressed, stressed, or upset",3,33%,1190
Physical illness or condition,2,27%,994
Inability to concentrate on my work,2,18%,671
"Feeling depressed, stressed, or upset",2,17%,623
Physical illness or condition,1,49%,1785
Inability to concentrate on my work,1,18%,643
"Feeling depressed, stressed, or upset",1,10%,378
