Label1	Pivot Field Values	Calculation1	Total
UC [CAMPUS] is a welcoming campus	6	20%	34
UC [CAMPUS] is a safe and secure campus	6	16%	26
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	6	17%	28
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	6	25%	42
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	6	27%	45
UC [CAMPUS] is a welcoming campus	5	31%	51
UC [CAMPUS] is a safe and secure campus	5	17%	29
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	5	31%	52
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	5	32%	53
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	5	30%	50
UC [CAMPUS] is a welcoming campus	4	31%	51
UC [CAMPUS] is a safe and secure campus	4	31%	52
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	4	27%	44
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	4	27%	45
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	4	20%	33
UC [CAMPUS] is a welcoming campus	3	10%	17
UC [CAMPUS] is a safe and secure campus	3	19%	31
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	3	13%	22
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	3	8%	13
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	3	12%	20
UC [CAMPUS] is a welcoming campus	2	5%	8
UC [CAMPUS] is a safe and secure campus	2	10%	17
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	2	7%	12
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	2	4%	7
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	2	7%	11
UC [CAMPUS] is a welcoming campus	1	3%	5
UC [CAMPUS] is a safe and secure campus	1	7%	11
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	1	5%	8
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	1	4%	6
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	1	4%	7
