Label1	Pivot Field Values	Calculation1	Total
UC [CAMPUS] is a welcoming campus	6	16%	345
UC [CAMPUS] is a safe and secure campus	6	9%	195
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	6	16%	346
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	6	16%	345
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	6	16%	351
UC [CAMPUS] is a welcoming campus	5	37%	813
UC [CAMPUS] is a safe and secure campus	5	25%	548
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	5	43%	936
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	5	40%	862
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	5	35%	757
UC [CAMPUS] is a welcoming campus	4	31%	685
UC [CAMPUS] is a safe and secure campus	4	31%	682
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	4	26%	575
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	4	25%	547
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	4	24%	513
UC [CAMPUS] is a welcoming campus	3	10%	221
UC [CAMPUS] is a safe and secure campus	3	20%	429
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	3	8%	183
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	3	11%	235
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	3	13%	268
UC [CAMPUS] is a welcoming campus	2	3%	73
UC [CAMPUS] is a safe and secure campus	2	10%	221
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	2	4%	84
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	2	5%	116
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	2	7%	145
UC [CAMPUS] is a welcoming campus	1	2%	41
UC [CAMPUS] is a safe and secure campus	1	5%	105
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	1	2%	54
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	1	3%	73
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	1	5%	104
