Label1	Pivot Field Values	Calculation1	Total
UC [CAMPUS] is a welcoming campus	6	12%	153
UC [CAMPUS] is a safe and secure campus	6	6%	81
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	6	13%	166
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	6	13%	169
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	6	16%	207
UC [CAMPUS] is a welcoming campus	5	33%	419
UC [CAMPUS] is a safe and secure campus	5	21%	269
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	5	37%	471
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	5	42%	533
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	5	38%	486
UC [CAMPUS] is a welcoming campus	4	35%	449
UC [CAMPUS] is a safe and secure campus	4	33%	426
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	4	29%	376
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	4	26%	336
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	4	23%	298
UC [CAMPUS] is a welcoming campus	3	13%	165
UC [CAMPUS] is a safe and secure campus	3	22%	279
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	3	11%	147
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	3	10%	129
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	3	11%	147
UC [CAMPUS] is a welcoming campus	2	4%	55
UC [CAMPUS] is a safe and secure campus	2	12%	155
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	2	7%	84
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	2	5%	68
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	2	6%	79
UC [CAMPUS] is a welcoming campus	1	3%	35
UC [CAMPUS] is a safe and secure campus	1	6%	71
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	1	3%	35
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	1	3%	42
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	1	5%	62
