Label1	Pivot Field Values	Calculation1	Total
UC [CAMPUS] is a welcoming campus	6	19%	138
UC [CAMPUS] is a safe and secure campus	6	10%	71
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	6	19%	136
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	6	18%	130
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	6	19%	133
UC [CAMPUS] is a welcoming campus	5	35%	248
UC [CAMPUS] is a safe and secure campus	5	25%	180
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	5	41%	292
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	5	40%	285
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	5	35%	249
UC [CAMPUS] is a welcoming campus	4	31%	218
UC [CAMPUS] is a safe and secure campus	4	32%	229
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	4	23%	164
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	4	25%	179
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	4	23%	160
UC [CAMPUS] is a welcoming campus	3	8%	56
UC [CAMPUS] is a safe and secure campus	3	17%	122
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	3	10%	68
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	3	9%	66
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	3	12%	86
UC [CAMPUS] is a welcoming campus	2	5%	35
UC [CAMPUS] is a safe and secure campus	2	9%	66
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	2	5%	36
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	2	4%	28
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	2	7%	53
UC [CAMPUS] is a welcoming campus	1	2%	17
UC [CAMPUS] is a safe and secure campus	1	6%	44
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	1	2%	17
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	1	3%	22
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	1	4%	29
