Label1	Pivot Field Values	Calculation1	Total
UC [CAMPUS] is a welcoming campus	6	13%	112
UC [CAMPUS] is a safe and secure campus	6	7%	58
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	6	13%	106
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	6	15%	128
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	6	19%	158
UC [CAMPUS] is a welcoming campus	5	36%	302
UC [CAMPUS] is a safe and secure campus	5	21%	180
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	5	33%	280
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	5	37%	317
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	5	36%	301
UC [CAMPUS] is a welcoming campus	4	32%	270
UC [CAMPUS] is a safe and secure campus	4	32%	275
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	4	31%	265
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	4	27%	228
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	4	24%	205
UC [CAMPUS] is a welcoming campus	3	12%	99
UC [CAMPUS] is a safe and secure campus	3	22%	186
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	3	11%	96
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	3	10%	87
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	3	11%	90
UC [CAMPUS] is a welcoming campus	2	4%	34
UC [CAMPUS] is a safe and secure campus	2	12%	101
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	2	8%	64
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	2	6%	47
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	2	7%	58
UC [CAMPUS] is a welcoming campus	1	4%	31
UC [CAMPUS] is a safe and secure campus	1	6%	48
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	1	4%	37
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	1	5%	41
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	1	4%	35
