Label1	Pivot Field Values	Calculation1	Total
UC [CAMPUS] is a welcoming campus	6	15%	699
UC [CAMPUS] is a safe and secure campus	6	8%	358
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	6	15%	712
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	6	16%	743
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	6	17%	72
UC [CAMPUS] is a welcoming campus	5	38%	1759
UC [CAMPUS] is a safe and secure campus	5	23%	1093
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	5	40%	1887
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	5	42%	1983
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	5	43%	183
UC [CAMPUS] is a welcoming campus	4	30%	1427
UC [CAMPUS] is a safe and secure campus	4	33%	1538
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	4	26%	1203
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	4	24%	1105
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	4	24%	101
UC [CAMPUS] is a welcoming campus	3	11%	493
UC [CAMPUS] is a safe and secure campus	3	20%	960
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	3	10%	458
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	3	9%	430
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	3	9%	37
UC [CAMPUS] is a welcoming campus	2	4%	188
UC [CAMPUS] is a safe and secure campus	2	10%	468
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	2	5%	256
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	2	6%	262
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	2	4%	18
UC [CAMPUS] is a welcoming campus	1	2%	117
UC [CAMPUS] is a safe and secure campus	1	6%	267
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	1	4%	164
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	1	3%	159
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	1	4%	18
